artist,song,lyrics,sadness,fear,neutral,surprise,joy,anger,disgust,key,mode,tempo,energy,valence
Aphex Twin,Xtal,"Could those little drops of water meeting under your chin be teardrops
could that pain in your heart be there because you love a new love
well I know just how you feel
I felt that way for so many years
ever since that cloudy day you told me goodbye
and with her you walked away
now baby you're welcome
now baby you're welcome back
now baby you're welcome back to me

Did she put you down cause the new love she found looks better
did you find that a few nights of fun were all she was after
well I know just how you feel
I felt that way for so many years
ever since that cloudy day you told me goodbye
and with her you walked away
now baby you're welcome
now baby you're welcome back
now baby you're welcome back to me

Baby you're welcome
now baby you're welcome back
now baby you're welcome back to me",0.9046074748039246,0.0355719178915023,0.0242952704429626,0.0212589185684919,0.0084631107747554,0.0041182287968695,0.0016850923420861,9,0,114.53,0.51,0.32
Aphex Twin,Pulsewidth,"Could those little drops of water meeting under your chin be teardrops
could that pain in your heart be there because you love a new love
well I know just how you feel
I felt that way for so many years
ever since that cloudy day you told me goodbye
and with her you walked away
now baby you're welcome
now baby you're welcome back
now baby you're welcome back to me

Did she put you down cause the new love she found looks better
did you find that a few nights of fun were all she was after
well I know just how you feel
I felt that way for so many years
ever since that cloudy day you told me goodbye
and with her you walked away
now baby you're welcome
now baby you're welcome back
now baby you're welcome back to me

Baby you're welcome
now baby you're welcome back
now baby you're welcome back to me",0.9046074748039246,0.0355719178915023,0.0242952704429626,0.0212589185684919,0.0084631107747554,0.0041182287968695,0.0016850923420861,1,1,119.32,0.49,0.3
Aphex Twin,i,"Could those little drops of water meeting under your chin be teardrops
could that pain in your heart be there because you love a new love
well I know just how you feel
I felt that way for so many years
ever since that cloudy day you told me goodbye
and with her you walked away
now baby you're welcome
now baby you're welcome back
now baby you're welcome back to me

Did she put you down cause the new love she found looks better
did you find that a few nights of fun were all she was after
well I know just how you feel
I felt that way for so many years
ever since that cloudy day you told me goodbye
and with her you walked away
now baby you're welcome
now baby you're welcome back
now baby you're welcome back to me

Baby you're welcome
now baby you're welcome back
now baby you're welcome back to me",0.9046074748039246,0.0355719178915023,0.0242952704429626,0.0212589185684919,0.0084631107747554,0.0041182287968695,0.0016850923420861,2,1,76.92,0.09,0.03
Aphex Twin,Ageispolis,"Could those little drops of water meeting under your chin be teardrops
could that pain in your heart be there because you love a new love
well I know just how you feel
I felt that way for so many years
ever since that cloudy day you told me goodbye
and with her you walked away
now baby you're welcome
now baby you're welcome back
now baby you're welcome back to me

Did she put you down cause the new love she found looks better
did you find that a few nights of fun were all she was after
well I know just how you feel
I felt that way for so many years
ever since that cloudy day you told me goodbye
and with her you walked away
now baby you're welcome
now baby you're welcome back
now baby you're welcome back to me

Baby you're welcome
now baby you're welcome back
now baby you're welcome back to me",0.9046074748039246,0.0355719178915023,0.0242952704429626,0.0212589185684919,0.0084631107747554,0.0041182287968695,0.0016850923420861,6,0,101.76,0.39,0.44
Aphex Twin,Tha,"Could those little drops of water meeting under your chin be teardrops
could that pain in your heart be there because you love a new love
well I know just how you feel
I felt that way for so many years
ever since that cloudy day you told me goodbye
and with her you walked away
now baby you're welcome
now baby you're welcome back
now baby you're welcome back to me

Did she put you down cause the new love she found looks better
did you find that a few nights of fun were all she was after
well I know just how you feel
I felt that way for so many years
ever since that cloudy day you told me goodbye
and with her you walked away
now baby you're welcome
now baby you're welcome back
now baby you're welcome back to me

Baby you're welcome
now baby you're welcome back
now baby you're welcome back to me",0.9046074748039246,0.0355719178915023,0.0242952704429626,0.0212589185684919,0.0084631107747554,0.0041182287968695,0.0016850923420861,4,0,134.76,0.41,0.33
Buena Vista Social Club,Chan Chan,"De Alto Cedro voy para Macané
Luego a Cueto voy para Mayarí

El cariño que te tengo
Yo no lo puedo negar
Se me sale la babita
Yo no lo puedo evitar

Cuando Juanica y Chan Chan
En el mar cernían arena
Como sacudía el \'jibe\'
A Chan Chan le daba pena

Limpia el camino de pajas
Que yo me quiero sentar
En aquel tronco que veo
Y así no puedo llegar

De Alto Cedro voy para Macané
Luego a Cueto voy para Mayarí",0.1113781780004501,0.1868776381015777,0.3459314107894897,0.0351058468222618,0.0918976813554763,0.1149213761091232,0.1138878539204597,2,0,165.65,0.5,0.68
Buena Vista Social Club,Dos Gardenias,"Dos gardenias para ti
Con ellas quiero decir
Te quiero, te adoro, mi vida.

Ponles toda tu atención
Porque son tu corazón y el mío.

Dos gardenias para ti
Que tendrán todo el calor de un beso
De esos que te di
Y que jamás encontrarás
En el calor de otro querer.

A tu lado vivirán y te hablarán
Como cuando estas conmigo
Y hasta creerás
Que te dirán te quiero.

Pero si un atardecer
Las gardenias de mi amor se mueren
Es porque han adivinado
Que tu amor me ha traicionado
Porque existe otro querer.

Dos gardenias...para tí.",0.0415310114622116,0.5135056376457214,0.2386100590229034,0.0108766043558716,0.0296472366899251,0.0985996350646019,0.0672298073768615,4,0,91.77,0.2,0.55
Buena Vista Social Club,El cuarto de tula,"En el barrio la Cachimba se ha formado la corredera.
En el barrio la Cachimba se ha formado la corredera.
Allà fueron los bomberos con sus campanas y sus sirenas.
Allà fueron los bomberos con sus campanas y sus sirenas.
Ay mamà! Que pasò?
Ay mamà! Que pasò?

El cuarto de Tula, le cogiò candela.
Se quedò dormida y no,apagò la vela.

Que llamen a Ibrahim Ferrer, que busquen los bomberos!
Que yo creo que Tula lo que quieres es que le apaguen el fuego.

Ay, por ahì viene Eliades, en tremenda corredera.
Viene a observar el cuarto de Tula que ha cogido candela.

Carlo y Marco estàn mirando este fuego.
Si ahora no se apaga, se apaga luego.

Puntillita ve y busca Marco, pà que busque al Sierra Maestra.
Que vengan par acà rapido que la Tula, mira cogiò candela.

Ey Marcos, coge pronto el cubito y no te quedè allà fuera.

Llenalo de agua y ven a apagar el cuarto de Tula que ha cogido candela.
Tula està encendida, llama a los bomberos.
Tu eres candela.
Afina los cueros.

Candela, muchacho.
Se volviò loco Barbarito, hay que ingresarlo.",0.0118037005886435,0.052575871348381,0.6197972893714905,0.2121176719665527,0.0109804663807153,0.0608034431934356,0.0319215953350067,9,1,104.78,0.66,0.86
Caetano Veloso,Samba de Verão,"Você viu só que amor
Nunca vi coisa assim
E passou, nem parou
Mas olhou só pra mim...

Se voltar vou atrás
Vou pedir, vou falar
Vou dizer que o amor
Foi feitinho prá dar...

Olha, é como o verão
Quente o coração
Salta de repente
Para ver
A menina que vem...

Ela vem sempre tem
Esse mar no olhar
E vai ver, tem que ser
Nunca tem quem amar
Hoje sim, diz que sim
Já cansei de esperar
Não parei, nem dormi
Só pensando em me dar...

Peço, mas você não vem
Bem!
Deixo então!
Olho o céu
Falo só
Mas você vem...

Deixo então!
Olho o céu
Falo só
Mas você vem... (2x)

(Thanks to Rafael for these lyrics)",0.0832852870225906,0.434107631444931,0.1464744359254837,0.0362004972994327,0.0606242567300796,0.1532482802867889,0.0860595926642417,5,1,119.77,0.3,0.46
Caetano Veloso,Sampa,"Alguma coisa acontece no meu coração
Que só quando cruza a Ipiranga e a avenida São João
É que quando eu cheguei por aqui eu nada entendi
Da dura poesia concreta de tuas esquinas
Da deselegância discreta de tuas meninas

Ainda não havia para mim Rita Lee
A tua mais completa tradução
Alguma coisa acontece no meu coração
Que só quando cruza a Ipiranga e a avenida São João

Quando eu te encarei frente a frente não vi o meu rosto
Chamei de mau gosto o que vi, de mau gosto, mau gosto
É que Narciso acha feio o que não é espelho
E à mente apavora o que ainda não é mesmo velho
Nada do que não era antes quando não somos mutantes

E foste um difícil começo
Afasto o que não conheço
E quem vende outro sonho feliz de cidade
Aprende depressa a chamar-te de realidade
Porque és o avesso do avesso do avesso do avesso

Do povo oprimido nas filas, nas vilas, favelas
Da força da grana que ergue e destrói coisas belas
Da feia fumaça que sobe, apagando as estrelas
Eu vejo surgir teus poetas de campos, espaços
Tuas oficinas de florestas, teus deuses da chuva

Pan-Américas de Áfricas utópicas, túmulo do samba
Mais possível novo quilombo de Zumbi
E os novos baianos passeiam na tua garoa
E novos baianos te podem curtir numa boa",0.1777334362268448,0.0993024557828903,0.2353293746709823,0.0622451268136501,0.0781561136245727,0.2724802792072296,0.0747532323002815,0,1,114.32,0.28,0.62
